Copyright (C) 1991-2013 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

Fitter Resource Utilization by Entity

Compilation Hierarchy Node,Logic Cells,Dedicated Logic Registers,I/O Registers,Memory Bits,M4Ks,DSP Elements,DSP 9x9,DSP 18x18,Pins,Virtual Pins,LUT-Only LCs,Register-Only LCs,LUT/Register LCs,Full Hierarchy Name,Library Name
|FPGA_MAIN_MODULE,3040 (64),2026 (29),0 (0),0,0,0,0,0,86,0,1014 (35),239 (0),1787 (29),|FPGA_MAIN_MODULE,work
   |DISCRETE_COMM_ARDUINO:INST_DISCRETE_COMM_ARDUINO_1|,9 (9),9 (9),0 (0),0,0,0,0,0,0,0,0 (0),0 (0),9 (9),|FPGA_MAIN_MODULE|DISCRETE_COMM_ARDUINO:INST_DISCRETE_COMM_ARDUINO_1,work
   |DISCRETE_COMM_ARDUINO:INST_DISCRETE_COMM_ARDUINO_2|,9 (9),9 (9),0 (0),0,0,0,0,0,0,0,0 (0),0 (0),9 (9),|FPGA_MAIN_MODULE|DISCRETE_COMM_ARDUINO:INST_DISCRETE_COMM_ARDUINO_2,work
   |DISCRETE_COMM_ARDUINO:INST_DISCRETE_COMM_ARDUINO_3|,9 (9),9 (9),0 (0),0,0,0,0,0,0,0,0 (0),0 (0),9 (9),|FPGA_MAIN_MODULE|DISCRETE_COMM_ARDUINO:INST_DISCRETE_COMM_ARDUINO_3,work
   |DISCRETE_COMM_ARDUINO:INST_DISCRETE_COMM_ARDUINO_4|,9 (9),9 (9),0 (0),0,0,0,0,0,0,0,0 (0),0 (0),9 (9),|FPGA_MAIN_MODULE|DISCRETE_COMM_ARDUINO:INST_DISCRETE_COMM_ARDUINO_4,work
   |DISCRETE_COMM_SHIELD:INST_DISCRETE_COMM_SHIELD|,15 (15),15 (15),0 (0),0,0,0,0,0,0,0,0 (0),6 (6),9 (9),|FPGA_MAIN_MODULE|DISCRETE_COMM_SHIELD:INST_DISCRETE_COMM_SHIELD,work
   |MAIN_PROCESSOR:INST_MAIN_PROCESSOR|,1451 (1451),971 (971),0 (0),0,0,0,0,0,0,0,480 (480),35 (35),936 (936),|FPGA_MAIN_MODULE|MAIN_PROCESSOR:INST_MAIN_PROCESSOR,work
   |PWM_MONITORING_ARDUINO:INST_PWM_MONITORING_ARDUINO_1|,226 (226),184 (184),0 (0),0,0,0,0,0,0,0,42 (42),48 (48),136 (136),|FPGA_MAIN_MODULE|PWM_MONITORING_ARDUINO:INST_PWM_MONITORING_ARDUINO_1,work
   |PWM_MONITORING_ARDUINO:INST_PWM_MONITORING_ARDUINO_2|,204 (204),168 (168),0 (0),0,0,0,0,0,0,0,36 (36),48 (48),120 (120),|FPGA_MAIN_MODULE|PWM_MONITORING_ARDUINO:INST_PWM_MONITORING_ARDUINO_2,work
   |PWM_MONITORING_ARDUINO:INST_PWM_MONITORING_ARDUINO_3|,204 (204),168 (168),0 (0),0,0,0,0,0,0,0,36 (36),48 (48),120 (120),|FPGA_MAIN_MODULE|PWM_MONITORING_ARDUINO:INST_PWM_MONITORING_ARDUINO_3,work
