Copyright (C) 1991-2013 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

Fitter Resource Usage Summary

Resource,Usage
Total logic elements,"3,040 / 4,608 ( 66 % )"
    -- Combinational with no register,1014
    -- Register only,239
    -- Combinational with a register,1787
,
Logic element usage by number of LUT inputs,
    -- 4 input functions,1199
    -- 3 input functions,225
    -- <=2 input functions,1377
    -- Register only,239
,
Logic elements by mode,
    -- normal mode,2466
    -- arithmetic mode,335
,
Total registers*  ,"2,026 / 4,851 ( 42 % )"
    -- Dedicated logic registers,"2,026 / 4,608 ( 44 % )"
    -- I/O registers,0 / 243 ( 0 % )
,
Total LABs:  partially or completely used,224 / 288 ( 78 % )
Virtual pins,0
I/O pins,86 / 89 ( 97 % )
    -- Clock pins ,4 / 4 ( 100 % )
 , 
Global signals ,1
M4Ks,0 / 26 ( 0 % )
Total block memory bits,"0 / 119,808 ( 0 % )"
Total block memory implementation bits,"0 / 119,808 ( 0 % )"
Embedded Multiplier 9-bit elements,0 / 26 ( 0 % )
PLLs,0 / 2 ( 0 % )
Global clocks,1 / 8 ( 13 % )
JTAGs,0 / 1 ( 0 % )
ASMI blocks,0 / 1 ( 0 % )
CRC blocks,0 / 1 ( 0 % )
Average interconnect usage (total/H/V),10% / 10% / 10%
Peak interconnect usage (total/H/V),10% / 10% / 11%
Maximum fan-out,2026
Highest non-global fan-out,1553
Total fan-out,14009
Average fan-out,2.75
